semester1,Institution1,Program,Degree_Level_Code,CIP,Program_status,ECount,GCount
2017-2018,Thomas More University,Junior High/Intermediate/Middle School Education and Teaching,M ,13.1203,A  ,2,1
2018-2019,Thomas More University,Junior High/Intermediate/Middle School Education and Teaching,M ,13.1203,A  ,1,
2019-2020,Thomas More University,Junior High/Intermediate/Middle School Education and Teaching,M ,13.1203,A  ,3,2
2020-2021,Thomas More University,Junior High/Intermediate/Middle School Education and Teaching,M ,13.1203,A  ,1,
2021-2022,Thomas More University,Junior High/Intermediate/Middle School Education and Teaching,M ,13.1203,A  ,11,1
2022-2023,Thomas More University,Junior High/Intermediate/Middle School Education and Teaching,M ,13.1203,A  ,43,20
2023-2024,Thomas More University,Junior High/Intermediate/Middle School Education and Teaching,M ,13.1203,A  ,38,13
2024-2025,Thomas More University,Junior High/Intermediate/Middle School Education and Teaching,M ,13.1203,A  ,29,
2014-2015,Thomas More University,Secondary Education and Teaching,M ,13.1205,A  ,9,4
2015-2016,Thomas More University,Secondary Education and Teaching,M ,13.1205,A  ,7,5
2016-2017,Thomas More University,Secondary Education and Teaching,M ,13.1205,A  ,7,1
2017-2018,Thomas More University,Secondary Education and Teaching,M ,13.1205,A  ,7,3
2018-2019,Thomas More University,Secondary Education and Teaching,M ,13.1205,A  ,5,1
2019-2020,Thomas More University,Secondary Education and Teaching,M ,13.1205,A  ,2,2
2020-2021,Thomas More University,Secondary Education and Teaching,M ,13.1205,A  ,8,3
2021-2022,Thomas More University,Secondary Education and Teaching,M ,13.1205,A  ,17,2
2022-2023,Thomas More University,Secondary Education and Teaching,M ,13.1205,A  ,,
2023-2024,Thomas More University,Secondary Education and Teaching,M ,13.1205,A  ,,
2024-2025,Thomas More University,Secondary Education and Teaching,M ,13.1205,A  ,,
2014-2015,Thomas More University,Teacher Education and Professional Development,M ,13.1206,A  ,,
2015-2016,Thomas More University,Teacher Education and Professional Development,M ,13.1206,A  ,,
2016-2017,Thomas More University,Teacher Education and Professional Development,M ,13.1206,A  ,,
2017-2018,Thomas More University,Teacher Education and Professional Development,M ,13.1206,A  ,,
2018-2019,Thomas More University,Teacher Education and Professional Development,M ,13.1206,A  ,7,6
2019-2020,Thomas More University,Teacher Education and Professional Development,M ,13.1206,A  ,7,2
2020-2021,Thomas More University,Teacher Education and Professional Development,M ,13.1206,A  ,3,2
2021-2022,Thomas More University,Teacher Education and Professional Development,M ,13.1206,A  ,9,1
2022-2023,Thomas More University,Teacher Education and Professional Development,M ,13.1206,A  ,,
2023-2024,Thomas More University,Teacher Education and Professional Development,M ,13.1206,A  ,,
2024-2025,Thomas More University,Teacher Education and Professional Development,M ,13.1206,A  ,,
2014-2015,Transylvania University,*Education and Social Change,B ,13.0901,A  ,4,
2015-2016,Transylvania University,*Education and Social Change,B ,13.0901,A  ,3,1
2016-2017,Transylvania University,*Education and Social Change,B ,13.0901,A  ,,
2017-2018,Transylvania University,*Education and Social Change,B ,13.0901,A  ,3,1
2018-2019,Transylvania University,*Education and Social Change,B ,13.0901,A  ,4,3
2019-2020,Transylvania University,*Education and Social Change,B ,13.0901,A  ,5,4
2020-2021,Transylvania University,*Education and Social Change,B ,13.0901,A  ,6,2
2021-2022,Transylvania University,*Education and Social Change,B ,13.0901,A  ,4,3
2022-2023,Transylvania University,*Education and Social Change,B ,13.0901,A  ,2,2
2023-2024,Transylvania University,*Education and Social Change,B ,13.0901,A  ,2,1
2024-2025,Transylvania University,*Education and Social Change,B ,13.0901,A  ,7,
2014-2015,Transylvania University,*Education:  Elementary,B ,13.1202,A  ,14,6
2015-2016,Transylvania University,*Education:  Elementary,B ,13.1202,A  ,14,7
2016-2017,Transylvania University,*Education:  Elementary,B ,13.1202,A  ,13,5
2017-2018,Transylvania University,*Education:  Elementary,B ,13.1202,A  ,12,4
2018-2019,Transylvania University,*Education:  Elementary,B ,13.1202,A  ,7,8
2019-2020,Transylvania University,*Education:  Elementary,B ,13.1202,A  ,7,1
2020-2021,Transylvania University,*Education:  Elementary,B ,13.1202,A  ,9,2
2021-2022,Transylvania University,*Education:  Elementary,B ,13.1202,A  ,12,5
2022-2023,Transylvania University,*Education:  Elementary,B ,13.1202,A  ,12,2
2023-2024,Transylvania University,*Education:  Elementary,B ,13.1202,A  ,19,5
2024-2025,Transylvania University,*Education:  Elementary,B ,13.1202,A  ,18,
2014-2015,Transylvania University,*Education:  Middle Grades,B ,13.1203,A  ,,
2015-2016,Transylvania University,*Education:  Middle Grades,B ,13.1203,A  ,3,3
2016-2017,Transylvania University,*Education:  Middle Grades,B ,13.1203,A  ,,
2017-2018,Transylvania University,*Education:  Middle Grades,B ,13.1203,A  ,2,1
2018-2019,Transylvania University,*Education:  Middle Grades,B ,13.1203,A  ,2,1
2019-2020,Transylvania University,*Education:  Middle Grades,B ,13.1203,A  ,2,2
2020-2021,Transylvania University,*Education:  Middle Grades,B ,13.1203,A  ,,
2021-2022,Transylvania University,*Education:  Middle Grades,B ,13.1203,A  ,1,
2022-2023,Transylvania University,*Education:  Middle Grades,B ,13.1203,A  ,,
2023-2024,Transylvania University,*Education:  Middle Grades,B ,13.1203,A  ,2,
2024-2025,Transylvania University,*Education:  Middle Grades,B ,13.1203,A  ,2,
2014-2015,Transylvania University,*Teaching Art,B ,13.1302,A  ,1,
2015-2016,Transylvania University,*Teaching Art,B ,13.1302,A  ,1,1
2016-2017,Transylvania University,*Teaching Art,B ,13.1302,A  ,,
2017-2018,Transylvania University,*Teaching Art,B ,13.1302,A  ,,
2018-2019,Transylvania University,*Teaching Art,B ,13.1302,A  ,1,
2019-2020,Transylvania University,*Teaching Art,B ,13.1302,A  ,,
2020-2021,Transylvania University,*Teaching Art,B ,13.1302,A  ,1,
2021-2022,Transylvania University,*Teaching Art,B ,13.1302,A  ,1,
2022-2023,Transylvania University,*Teaching Art,B ,13.1302,A  ,1,
2023-2024,Transylvania University,*Teaching Art,B ,13.1302,A  ,1,1
2024-2025,Transylvania University,*Teaching Art,B ,13.1302,A  ,1,
2014-2015,Transylvania University,*Teaching Music,B ,13.1312,A  ,5,
2015-2016,Transylvania University,*Teaching Music,B ,13.1312,A  ,3,2
2016-2017,Transylvania University,*Teaching Music,B ,13.1312,A  ,1,1
2017-2018,Transylvania University,*Teaching Music,B ,13.1312,A  ,,
2018-2019,Transylvania University,*Teaching Music,B ,13.1312,A  ,,
2019-2020,Transylvania University,*Teaching Music,B ,13.1312,A  ,,
2020-2021,Transylvania University,*Teaching Music,B ,13.1312,A  ,1,
2021-2022,Transylvania University,*Teaching Music,B ,13.1312,A  ,2,
2022-2023,Transylvania University,*Teaching Music,B ,13.1312,A  ,1,1
2023-2024,Transylvania University,*Teaching Music,B ,13.1312,A  ,2,
2024-2025,Transylvania University,*Teaching Music,B ,13.1312,A  ,1,
2014-2015,Transylvania University,*Teaching Chemistry,B ,13.1323,A  ,,
2015-2016,Transylvania University,*Teaching Chemistry,B ,13.1323,A  ,,
2016-2017,Transylvania University,*Teaching Chemistry,B ,13.1323,A  ,,
2017-2018,Transylvania University,*Teaching Chemistry,B ,13.1323,A  ,,
2018-2019,Transylvania University,*Teaching Chemistry,B ,13.1323,A  ,,
2019-2020,Transylvania University,*Teaching Chemistry,B ,13.1323,A  ,,
2020-2021,Transylvania University,*Teaching Chemistry,B ,13.1323,A  ,,
2021-2022,Transylvania University,*Teaching Chemistry,B ,13.1323,A  ,,
2022-2023,Transylvania University,*Teaching Chemistry,B ,13.1323,A  ,,
2023-2024,Transylvania University,*Teaching Chemistry,B ,13.1323,A  ,1,
2024-2025,Transylvania University,*Teaching Chemistry,B ,13.1323,A  ,1,
2014-2015,Union Commonwealth University,"Education, General",A ,13.0101,A  ,,
2015-2016,Union Commonwealth University,"Education, General",A ,13.0101,A  ,,
2016-2017,Union Commonwealth University,"Education, General",A ,13.0101,A  ,,1
2017-2018,Union Commonwealth University,"Education, General",A ,13.0101,A  ,,
2018-2019,Union Commonwealth University,"Education, General",A ,13.0101,A  ,,1
2019-2020,Union Commonwealth University,"Education, General",A ,13.0101,A  ,,
2020-2021,Union Commonwealth University,"Education, General",A ,13.0101,A  ,,
2021-2022,Union Commonwealth University,"Education, General",A ,13.0101,A  ,,
2022-2023,Union Commonwealth University,"Education, General",A ,13.0101,A  ,,
2023-2024,Union Commonwealth University,"Education, General",A ,13.0101,A  ,,
2024-2025,Union Commonwealth University,"Education, General",A ,13.0101,A  ,,
2014-2015,Union Commonwealth University,"Education, General",B ,13.0101,A  ,57,1
2015-2016,Union Commonwealth University,"Education, General",B ,13.0101,A  ,,1
2016-2017,Union Commonwealth University,"Education, General",B ,13.0101,A  ,55,2
2017-2018,Union Commonwealth University,"Education, General",B ,13.0101,A  ,71,1
2018-2019,Union Commonwealth University,"Education, General",B ,13.0101,A  ,80,
2019-2020,Union Commonwealth University,"Education, General",B ,13.0101,A  ,77,1
2020-2021,Union Commonwealth University,"Education, General",B ,13.0101,A  ,96,
2021-2022,Union Commonwealth University,"Education, General",B ,13.0101,A  ,62,5
2022-2023,Union Commonwealth University,"Education, General",B ,13.0101,A  ,57,5
2023-2024,Union Commonwealth University,"Education, General",B ,13.0101,A  ,38,2
2024-2025,Union Commonwealth University,"Education, General",B ,13.0101,A  ,31,
2014-2015,Union Commonwealth University,Elementary Education and Teaching,B ,13.1202,A  ,2,3
2015-2016,Union Commonwealth University,Elementary Education and Teaching,B ,13.1202,A  ,38,2
2016-2017,Union Commonwealth University,Elementary Education and Teaching,B ,13.1202,A  ,2,5
2017-2018,Union Commonwealth University,Elementary Education and Teaching,B ,13.1202,A  ,14,10
2018-2019,Union Commonwealth University,Elementary Education and Teaching,B ,13.1202,A  ,17,6
2019-2020,Union Commonwealth University,Elementary Education and Teaching,B ,13.1202,A  ,10,4
2020-2021,Union Commonwealth University,Elementary Education and Teaching,B ,13.1202,A  ,6,7
2021-2022,Union Commonwealth University,Elementary Education and Teaching,B ,13.1202,A  ,8,7
2022-2023,Union Commonwealth University,Elementary Education and Teaching,B ,13.1202,A  ,4,3
2023-2024,Union Commonwealth University,Elementary Education and Teaching,B ,13.1202,A  ,4,3
2024-2025,Union Commonwealth University,Elementary Education and Teaching,B ,13.1202,A  ,1,
2014-2015,Union Commonwealth University,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,2,
2015-2016,Union Commonwealth University,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,12,3
2016-2017,Union Commonwealth University,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,3,4
2017-2018,Union Commonwealth University,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,4,
2018-2019,Union Commonwealth University,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,6,1
2019-2020,Union Commonwealth University,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,3,1
2020-2021,Union Commonwealth University,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,,
2021-2022,Union Commonwealth University,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,2,1
2022-2023,Union Commonwealth University,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,2,2
2023-2024,Union Commonwealth University,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,3,1
2024-2025,Union Commonwealth University,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,1,
2014-2015,Union Commonwealth University,*English Teacher,B ,13.1305,A  ,,
2015-2016,Union Commonwealth University,*English Teacher,B ,13.1305,A  ,,
2016-2017,Union Commonwealth University,*English Teacher,B ,13.1305,A  ,,
2017-2018,Union Commonwealth University,*English Teacher,B ,13.1305,A  ,4,
2018-2019,Union Commonwealth University,*English Teacher,B ,13.1305,A  ,1,
2019-2020,Union Commonwealth University,*English Teacher,B ,13.1305,A  ,3,1
2020-2021,Union Commonwealth University,*English Teacher,B ,13.1305,A  ,2,1
2021-2022,Union Commonwealth University,*English Teacher,B ,13.1305,A  ,1,
2022-2023,Union Commonwealth University,*English Teacher,B ,13.1305,A  ,,
2023-2024,Union Commonwealth University,*English Teacher,B ,13.1305,A  ,,
2024-2025,Union Commonwealth University,*English Teacher,B ,13.1305,A  ,,
2014-2015,Union Commonwealth University,Health Teacher Education,B ,13.1307,A  ,14,6
2015-2016,Union Commonwealth University,Health Teacher Education,B ,13.1307,A  ,14,10
2016-2017,Union Commonwealth University,Health Teacher Education,B ,13.1307,A  ,16,5
2017-2018,Union Commonwealth University,Health Teacher Education,B ,13.1307,A  ,6,2
2018-2019,Union Commonwealth University,Health Teacher Education,B ,13.1307,A  ,1,1
2019-2020,Union Commonwealth University,Health Teacher Education,B ,13.1307,A  ,,
2020-2021,Union Commonwealth University,Health Teacher Education,B ,13.1307,A  ,,
2021-2022,Union Commonwealth University,Health Teacher Education,B ,13.1307,A  ,,
2022-2023,Union Commonwealth University,Health Teacher Education,B ,13.1307,A  ,,
2023-2024,Union Commonwealth University,Health Teacher Education,B ,13.1307,A  ,,
2024-2025,Union Commonwealth University,Health Teacher Education,B ,13.1307,A  ,,
2014-2015,Union Commonwealth University,Social Studies Teacher Education,B ,13.1318,A  ,7,1
2015-2016,Union Commonwealth University,Social Studies Teacher Education,B ,13.1318,A  ,8,
2016-2017,Union Commonwealth University,Social Studies Teacher Education,B ,13.1318,A  ,7,1
2017-2018,Union Commonwealth University,Social Studies Teacher Education,B ,13.1318,A  ,19,2
2018-2019,Union Commonwealth University,Social Studies Teacher Education,B ,13.1318,A  ,11,2
2019-2020,Union Commonwealth University,Social Studies Teacher Education,B ,13.1318,A  ,9,
2020-2021,Union Commonwealth University,Social Studies Teacher Education,B ,13.1318,A  ,13,1
2021-2022,Union Commonwealth University,Social Studies Teacher Education,B ,13.1318,A  ,16,1
2022-2023,Union Commonwealth University,Social Studies Teacher Education,B ,13.1318,A  ,12,1
2023-2024,Union Commonwealth University,Social Studies Teacher Education,B ,13.1318,A  ,8,3
2024-2025,Union Commonwealth University,Social Studies Teacher Education,B ,13.1318,A  ,5,
2014-2015,Union Commonwealth University,*Educational Administration/Principalship,M ,13.0401,A  ,62,15
2015-2016,Union Commonwealth University,*Educational Administration/Principalship,M ,13.0401,A  ,46,48
2016-2017,Union Commonwealth University,*Educational Administration/Principalship,M ,13.0401,A  ,24,31
2017-2018,Union Commonwealth University,*Educational Administration/Principalship,M ,13.0401,A  ,25,16
2018-2019,Union Commonwealth University,*Educational Administration/Principalship,M ,13.0401,A  ,16,8
2019-2020,Union Commonwealth University,*Educational Administration/Principalship,M ,13.0401,A  ,9,8
2020-2021,Union Commonwealth University,*Educational Administration/Principalship,M ,13.0401,A  ,16,11
2021-2022,Union Commonwealth University,*Educational Administration/Principalship,M ,13.0401,A  ,5,6
2022-2023,Union Commonwealth University,*Educational Administration/Principalship,M ,13.0401,A  ,14,5
2023-2024,Union Commonwealth University,*Educational Administration/Principalship,M ,13.0401,A  ,13,17
2024-2025,Union Commonwealth University,*Educational Administration/Principalship,M ,13.0401,A  ,17,
2014-2015,Union Commonwealth University,*Supervision of Instruction P-12,M ,13.0404,A  ,,
2015-2016,Union Commonwealth University,*Supervision of Instruction P-12,M ,13.0404,A  ,,
2016-2017,Union Commonwealth University,*Supervision of Instruction P-12,M ,13.0404,A  ,,
2017-2018,Union Commonwealth University,*Supervision of Instruction P-12,M ,13.0404,A  ,2,
2018-2019,Union Commonwealth University,*Supervision of Instruction P-12,M ,13.0404,A  ,2,1
2019-2020,Union Commonwealth University,*Supervision of Instruction P-12,M ,13.0404,A  ,2,
2020-2021,Union Commonwealth University,*Supervision of Instruction P-12,M ,13.0404,A  ,8,
2021-2022,Union Commonwealth University,*Supervision of Instruction P-12,M ,13.0404,A  ,8,
2022-2023,Union Commonwealth University,*Supervision of Instruction P-12,M ,13.0404,A  ,1,3
2023-2024,Union Commonwealth University,*Supervision of Instruction P-12,M ,13.0404,A  ,4,
2024-2025,Union Commonwealth University,*Supervision of Instruction P-12,M ,13.0404,A  ,1,
2014-2015,Union Commonwealth University,"Special Education and Teaching, General.",M ,13.1001,A  ,26,6
2015-2016,Union Commonwealth University,"Special Education and Teaching, General.",M ,13.1001,A  ,24,12
2016-2017,Union Commonwealth University,"Special Education and Teaching, General.",M ,13.1001,A  ,19,14
2017-2018,Union Commonwealth University,"Special Education and Teaching, General.",M ,13.1001,A  ,21,14
2018-2019,Union Commonwealth University,"Special Education and Teaching, General.",M ,13.1001,A  ,16,5
2019-2020,Union Commonwealth University,"Special Education and Teaching, General.",M ,13.1001,A  ,10,2
2020-2021,Union Commonwealth University,"Special Education and Teaching, General.",M ,13.1001,A  ,9,6
2021-2022,Union Commonwealth University,"Special Education and Teaching, General.",M ,13.1001,A  ,3,2
2022-2023,Union Commonwealth University,"Special Education and Teaching, General.",M ,13.1001,A  ,2,1
2023-2024,Union Commonwealth University,"Special Education and Teaching, General.",M ,13.1001,A  ,,1
2024-2025,Union Commonwealth University,"Special Education and Teaching, General.",M ,13.1001,A  ,5,
2014-2015,Union Commonwealth University,*Substitute Teacher,A ,13.0101,A  ,,
2015-2016,Union Commonwealth University,*Substitute Teacher,A ,13.0101,A  ,,
2016-2017,Union Commonwealth University,*Substitute Teacher,A ,13.0101,A  ,,
2017-2018,Union Commonwealth University,*Substitute Teacher,A ,13.0101,A  ,1,
2018-2019,Union Commonwealth University,*Substitute Teacher,A ,13.0101,A  ,,
2019-2020,Union Commonwealth University,*Substitute Teacher,A ,13.0101,A  ,,
2020-2021,Union Commonwealth University,*Substitute Teacher,A ,13.0101,A  ,,
2021-2022,Union Commonwealth University,*Substitute Teacher,A ,13.0101,A  ,,
2022-2023,Union Commonwealth University,*Substitute Teacher,A ,13.0101,A  ,,
2023-2024,Union Commonwealth University,*Substitute Teacher,A ,13.0101,A  ,,
2024-2025,Union Commonwealth University,*Substitute Teacher,A ,13.0101,A  ,,
2014-2015,Union Commonwealth University,"Special Education and Teaching, General.",B ,13.1001,A  ,,
2015-2016,Union Commonwealth University,"Special Education and Teaching, General.",B ,13.1001,A  ,,
2016-2017,Union Commonwealth University,"Special Education and Teaching, General.",B ,13.1001,A  ,,
2017-2018,Union Commonwealth University,"Special Education and Teaching, General.",B ,13.1001,A  ,,
2018-2019,Union Commonwealth University,"Special Education and Teaching, General.",B ,13.1001,A  ,,
2019-2020,Union Commonwealth University,"Special Education and Teaching, General.",B ,13.1001,A  ,,
2020-2021,Union Commonwealth University,"Special Education and Teaching, General.",B ,13.1001,A  ,,
2021-2022,Union Commonwealth University,"Special Education and Teaching, General.",B ,13.1001,A  ,,
2022-2023,Union Commonwealth University,"Special Education and Teaching, General.",B ,13.1001,A  ,1,
2023-2024,Union Commonwealth University,"Special Education and Teaching, General.",B ,13.1001,A  ,,
2024-2025,Union Commonwealth University,"Special Education and Teaching, General.",B ,13.1001,A  ,,
2014-2015,Union Commonwealth University,*Master of Arts in Health and Physical Education,B ,13.1307,A  ,,
2015-2016,Union Commonwealth University,*Master of Arts in Health and Physical Education,B ,13.1307,A  ,,
2016-2017,Union Commonwealth University,*Master of Arts in Health and Physical Education,B ,13.1307,A  ,,
2017-2018,Union Commonwealth University,*Master of Arts in Health and Physical Education,B ,13.1307,A  ,,
2018-2019,Union Commonwealth University,*Master of Arts in Health and Physical Education,B ,13.1307,A  ,,
2019-2020,Union Commonwealth University,*Master of Arts in Health and Physical Education,B ,13.1307,A  ,,
2020-2021,Union Commonwealth University,*Master of Arts in Health and Physical Education,B ,13.1307,A  ,,
2021-2022,Union Commonwealth University,*Master of Arts in Health and Physical Education,B ,13.1307,A  ,,
2022-2023,Union Commonwealth University,*Master of Arts in Health and Physical Education,B ,13.1307,A  ,1,
2023-2024,Union Commonwealth University,*Master of Arts in Health and Physical Education,B ,13.1307,A  ,4,
2024-2025,Union Commonwealth University,*Master of Arts in Health and Physical Education,B ,13.1307,A  ,,
2014-2015,Union Commonwealth University,*Mathematics Teacher,B ,13.1311,A  ,,
2015-2016,Union Commonwealth University,*Mathematics Teacher,B ,13.1311,A  ,,
2016-2017,Union Commonwealth University,*Mathematics Teacher,B ,13.1311,A  ,,
2017-2018,Union Commonwealth University,*Mathematics Teacher,B ,13.1311,A  ,4,
2018-2019,Union Commonwealth University,*Mathematics Teacher,B ,13.1311,A  ,2,
2019-2020,Union Commonwealth University,*Mathematics Teacher,B ,13.1311,A  ,,
2020-2021,Union Commonwealth University,*Mathematics Teacher,B ,13.1311,A  ,,
2021-2022,Union Commonwealth University,*Mathematics Teacher,B ,13.1311,A  ,,
2022-2023,Union Commonwealth University,*Mathematics Teacher,B ,13.1311,A  ,,
2023-2024,Union Commonwealth University,*Mathematics Teacher,B ,13.1311,A  ,,
2024-2025,Union Commonwealth University,*Mathematics Teacher,B ,13.1311,A  ,,
2014-2015,Union Commonwealth University,*Teacher as Leader,M ,13.1206,A  ,,
2015-2016,Union Commonwealth University,*Teacher as Leader,M ,13.1206,A  ,,
2016-2017,Union Commonwealth University,*Teacher as Leader,M ,13.1206,A  ,,
2017-2018,Union Commonwealth University,*Teacher as Leader,M ,13.1206,A  ,64,33
2018-2019,Union Commonwealth University,*Teacher as Leader,M ,13.1206,A  ,41,13
2019-2020,Union Commonwealth University,*Teacher as Leader,M ,13.1206,A  ,19,5
2020-2021,Union Commonwealth University,*Teacher as Leader,M ,13.1206,A  ,22,9
2021-2022,Union Commonwealth University,*Teacher as Leader,M ,13.1206,A  ,16,15
2022-2023,Union Commonwealth University,*Teacher as Leader,M ,13.1206,A  ,16,6
2023-2024,Union Commonwealth University,*Teacher as Leader,M ,13.1206,A  ,12,8
2024-2025,Union Commonwealth University,*Teacher as Leader,M ,13.1206,A  ,4,
2014-2015,Union Commonwealth University,*Master of Arts in Health and Physical Education,M ,13.1307,A  ,11,1
2015-2016,Union Commonwealth University,*Master of Arts in Health and Physical Education,M ,13.1307,A  ,7,3
2016-2017,Union Commonwealth University,*Master of Arts in Health and Physical Education,M ,13.1307,A  ,5,7
2017-2018,Union Commonwealth University,*Master of Arts in Health and Physical Education,M ,13.1307,A  ,6,2
2018-2019,Union Commonwealth University,*Master of Arts in Health and Physical Education,M ,13.1307,A  ,5,2
2019-2020,Union Commonwealth University,*Master of Arts in Health and Physical Education,M ,13.1307,A  ,4,3
2020-2021,Union Commonwealth University,*Master of Arts in Health and Physical Education,M ,13.1307,A  ,8,1
2021-2022,Union Commonwealth University,*Master of Arts in Health and Physical Education,M ,13.1307,A  ,1,2
2022-2023,Union Commonwealth University,*Master of Arts in Health and Physical Education,M ,13.1307,A  ,,
2023-2024,Union Commonwealth University,*Master of Arts in Health and Physical Education,M ,13.1307,A  ,,
2024-2025,Union Commonwealth University,*Master of Arts in Health and Physical Education,M ,13.1307,A  ,,
2014-2015,Union Commonwealth University,Elementary Education and Teaching,M ,13.1202,A  ,,1
2015-2016,Union Commonwealth University,Elementary Education and Teaching,M ,13.1202,A  ,,
2016-2017,Union Commonwealth University,Elementary Education and Teaching,M ,13.1202,A  ,,
2017-2018,Union Commonwealth University,Elementary Education and Teaching,M ,13.1202,A  ,,
2018-2019,Union Commonwealth University,Elementary Education and Teaching,M ,13.1202,A  ,,
2019-2020,Union Commonwealth University,Elementary Education and Teaching,M ,13.1202,A  ,,
2020-2021,Union Commonwealth University,Elementary Education and Teaching,M ,13.1202,A  ,,
2021-2022,Union Commonwealth University,Elementary Education and Teaching,M ,13.1202,A  ,,
2022-2023,Union Commonwealth University,Elementary Education and Teaching,M ,13.1202,A  ,,
2023-2024,Union Commonwealth University,Elementary Education and Teaching,M ,13.1202,A  ,,
2024-2025,Union Commonwealth University,Elementary Education and Teaching,M ,13.1202,A  ,,
2014-2015,Union Commonwealth University,Secondary Education and Teaching,M ,13.1205,A  ,,
2015-2016,Union Commonwealth University,Secondary Education and Teaching,M ,13.1205,A  ,1,
2016-2017,Union Commonwealth University,Secondary Education and Teaching,M ,13.1205,A  ,,
2017-2018,Union Commonwealth University,Secondary Education and Teaching,M ,13.1205,A  ,,
2018-2019,Union Commonwealth University,Secondary Education and Teaching,M ,13.1205,A  ,,
2019-2020,Union Commonwealth University,Secondary Education and Teaching,M ,13.1205,A  ,,
2020-2021,Union Commonwealth University,Secondary Education and Teaching,M ,13.1205,A  ,,
2021-2022,Union Commonwealth University,Secondary Education and Teaching,M ,13.1205,A  ,,
2022-2023,Union Commonwealth University,Secondary Education and Teaching,M ,13.1205,A  ,,
2023-2024,Union Commonwealth University,Secondary Education and Teaching,M ,13.1205,A  ,,
2024-2025,Union Commonwealth University,Secondary Education and Teaching,M ,13.1205,A  ,,
2014-2015,Union Commonwealth University,English/Language Arts Teacher Education,B ,13.1305,A  ,,
2015-2016,Union Commonwealth University,English/Language Arts Teacher Education,B ,13.1305,A  ,,
2016-2017,Union Commonwealth University,English/Language Arts Teacher Education,B ,13.1305,A  ,,1
2017-2018,Union Commonwealth University,English/Language Arts Teacher Education,B ,13.1305,A  ,,
2018-2019,Union Commonwealth University,English/Language Arts Teacher Education,B ,13.1305,A  ,,
2019-2020,Union Commonwealth University,English/Language Arts Teacher Education,B ,13.1305,A  ,,
2020-2021,Union Commonwealth University,English/Language Arts Teacher Education,B ,13.1305,A  ,,
2021-2022,Union Commonwealth University,English/Language Arts Teacher Education,B ,13.1305,A  ,,
2022-2023,Union Commonwealth University,English/Language Arts Teacher Education,B ,13.1305,A  ,,1
2023-2024,Union Commonwealth University,English/Language Arts Teacher Education,B ,13.1305,A  ,,2
2024-2025,Union Commonwealth University,English/Language Arts Teacher Education,B ,13.1305,A  ,,
2014-2015,Union Commonwealth University,"Education, General",M ,13.0101,A  ,,
2015-2016,Union Commonwealth University,"Education, General",M ,13.0101,A  ,,
2016-2017,Union Commonwealth University,"Education, General",M ,13.0101,A  ,,
2017-2018,Union Commonwealth University,"Education, General",M ,13.0101,A  ,,
2018-2019,Union Commonwealth University,"Education, General",M ,13.0101,A  ,,
2019-2020,Union Commonwealth University,"Education, General",M ,13.0101,A  ,,
2020-2021,Union Commonwealth University,"Education, General",M ,13.0101,A  ,,
2021-2022,Union Commonwealth University,"Education, General",M ,13.0101,A  ,,
2022-2023,Union Commonwealth University,"Education, General",M ,13.0101,A  ,6,
2023-2024,Union Commonwealth University,"Education, General",M ,13.0101,A  ,,
2024-2025,Union Commonwealth University,"Education, General",M ,13.0101,A  ,,
2014-2015,University of Kentucky,*Special Education,B ,13.1001,A  ,141,27
2015-2016,University of Kentucky,*Special Education,B ,13.1001,A  ,135,31
2016-2017,University of Kentucky,*Special Education,B ,13.1001,A  ,134,24
2017-2018,University of Kentucky,*Special Education,B ,13.1001,A  ,240,21
2018-2019,University of Kentucky,*Special Education,B ,13.1001,A  ,224,27
2019-2020,University of Kentucky,*Special Education,B ,13.1001,A  ,200,21
2020-2021,University of Kentucky,*Special Education,B ,13.1001,A  ,92,17
2021-2022,University of Kentucky,*Special Education,B ,13.1001,A  ,63,14
2022-2023,University of Kentucky,*Special Education,B ,13.1001,A  ,65,14
2023-2024,University of Kentucky,*Special Education,B ,13.1001,A  ,58,9
2024-2025,University of Kentucky,*Special Education,B ,13.1001,A  ,49,
2014-2015,University of Kentucky,*Learning and Behavior Disorders and Elementary Education,B ,13.1001,A  ,,
2015-2016,University of Kentucky,*Learning and Behavior Disorders and Elementary Education,B ,13.1001,A  ,,
2016-2017,University of Kentucky,*Learning and Behavior Disorders and Elementary Education,B ,13.1001,A  ,,
2017-2018,University of Kentucky,*Learning and Behavior Disorders and Elementary Education,B ,13.1001,A  ,30,21
2018-2019,University of Kentucky,*Learning and Behavior Disorders and Elementary Education,B ,13.1001,A  ,14,27
2019-2020,University of Kentucky,*Learning and Behavior Disorders and Elementary Education,B ,13.1001,A  ,2,21
2020-2021,University of Kentucky,*Learning and Behavior Disorders and Elementary Education,B ,13.1001,A  ,,
